Date,Open,High,Low,Close,Adj Close,Volume
2019-09-13,167.800003,168.589996,165.899994,167.520004,166.776489,2341600
2019-09-16,166.270004,167.899994,164.919998,166.080002,165.342865,1312300
2019-09-17,167.050003,171.559998,162.190002,163.740005,163.013275,10914000
2019-09-18,164.250000,165.690002,161.539993,164.350006,163.620544,3500300
2019-09-19,164.080002,166.350006,162.509995,162.679993,161.957962,3066200
2019-09-20,163.029999,163.949997,159.759995,161.619995,160.902679,5203900
2019-09-23,160.429993,161.490005,158.919998,159.660004,158.951385,3030600
2019-09-24,161.220001,163.240005,158.970001,160.580002,159.867294,3529700
2019-09-25,159.880005,160.729996,157.759995,160.589996,159.877228,2426700
2019-09-26,160.759995,160.929993,159.210007,160.020004,159.309769,2308800
2019-09-27,160.679993,160.679993,155.440002,156.839996,156.143890,2436200
2019-09-30,157.550003,159.389999,156.240005,159.000000,158.294312,2183300
2019-10-01,159.309998,160.429993,157.970001,158.119995,157.418198,2573200
2019-10-02,157.020004,157.470001,154.550003,156.770004,156.074203,2817500
2019-10-03,156.380005,158.779999,153.779999,158.559998,157.856247,1904100
2019-10-04,159.360001,160.979996,158.229996,160.839996,160.126114,1281100
2019-10-07,159.679993,160.660004,158.330002,160.199997,159.488968,1737500
2019-10-08,158.740005,159.509995,156.669998,157.520004,156.820862,1609200
2019-10-09,158.639999,161.690002,158.050003,161.089996,160.375031,1343400
2019-10-10,160.610001,161.839996,160.009995,161.139999,160.424789,1619800
2019-10-11,163.100006,165.679993,162.729996,162.919998,162.196884,1261300
2019-10-14,163.220001,164.440002,162.600006,164.139999,163.411499,1659200
2019-10-15,164.979996,165.179993,162.699997,164.860001,164.128296,2026300
2019-10-16,164.360001,165.039993,162.320007,164.770004,164.038696,1756800
2019-10-17,165.389999,166.830002,162.839996,163.240005,162.515488,1881400
2019-10-18,163.070007,163.070007,159.029999,160.130005,159.419281,1879100
2019-10-21,161.130005,161.699997,159.369995,161.350006,160.633881,1076100
2019-10-22,161.350006,162.339996,154.949997,155.130005,154.441467,2455700
2019-10-23,155.169998,156.850006,154.529999,156.270004,155.576416,2430900
2019-10-24,157.300003,161.559998,157.300003,161.240005,160.524368,1255900
2019-10-25,160.750000,161.899994,159.630005,161.339996,160.623901,1048500
2019-10-28,162.160004,162.720001,160.029999,162.199997,161.480103,1481700
2019-10-29,162.029999,163.389999,161.440002,163.199997,162.475662,1580600
2019-10-30,163.669998,165.949997,162.910004,165.539993,164.805267,1999500
2019-10-31,169.350006,174.110001,168.529999,169.179993,168.429108,4211900
2019-11-01,170.610001,172.779999,167.529999,172.350006,171.585052,2101800
2019-11-04,172.929993,172.990005,169.039993,169.270004,168.518707,1631500
2019-11-05,169.350006,169.779999,164.729996,166.529999,165.790878,1592800
2019-11-06,165.509995,167.169998,164.570007,167.059998,166.318527,1183500
2019-11-07,167.449997,170.279999,166.550003,168.990005,168.239975,1264300
2019-11-08,169.020004,170.330002,168.050003,170.259995,169.504318,912900
2019-11-11,169.059998,172.149994,168.740005,171.990005,171.226624,976500
2019-11-12,172.300003,173.600006,170.850006,171.860001,171.097214,1397100
2019-11-13,171.360001,173.679993,171.070007,173.580002,172.809586,1668800
2019-11-14,173.369995,177.570007,173.270004,177.500000,176.712173,2454400
2019-11-15,178.669998,179.539993,177.360001,179.229996,178.434509,2452100
2019-11-18,179.679993,180.380005,178.869995,179.630005,178.832748,1701100
2019-11-19,180.509995,181.860001,179.740005,181.720001,180.913452,1782300
2019-11-20,181.449997,181.929993,178.809998,180.509995,179.708817,1279800
2019-11-21,180.039993,181.360001,178.020004,178.389999,177.598221,1168400
2019-11-22,179.139999,179.750000,176.940002,178.649994,177.857071,1149700
2019-11-25,180.770004,181.529999,179.080002,179.649994,178.852646,1262200
2019-11-26,179.720001,181.320007,179.440002,180.520004,179.718781,2291200
2019-11-27,180.899994,182.130005,179.779999,181.059998,180.256393,1044000
2019-11-29,180.460007,182.059998,180.000000,181.100006,180.296219,707400
2019-12-02,180.660004,181.050003,177.149994,178.070007,177.279663,1022500
2019-12-03,174.259995,177.669998,172.380005,177.419998,176.632538,1392000
2019-12-04,177.460007,178.449997,175.850006,175.970001,175.188980,1141900
2019-12-05,176.750000,177.830002,175.869995,176.919998,176.134750,1068800
2019-12-06,177.539993,178.750000,176.360001,176.660004,175.875916,977800
2019-12-09,176.220001,178.270004,174.880005,175.179993,174.402466,1827000
2019-12-10,174.289993,175.860001,173.529999,173.979996,173.207794,2535700
2019-12-11,173.910004,175.119995,172.199997,174.990005,174.213333,1380800
2019-12-12,174.759995,175.630005,172.990005,175.070007,174.487411,1718700
2019-12-13,175.369995,179.119995,174.990005,178.929993,178.334564,1721000
2019-12-16,179.699997,180.630005,178.949997,179.300003,178.703339,2193400
2019-12-17,179.649994,180.979996,178.000000,180.470001,179.869446,2656000
2019-12-18,180.300003,182.830002,180.300003,181.270004,180.666794,2917900
2019-12-19,180.960007,183.729996,180.830002,183.389999,182.779739,2789600
2019-12-20,184.860001,185.419998,181.789993,183.449997,182.839539,3715400
2019-12-23,184.000000,184.000000,182.100006,182.259995,181.653488,1190100
2019-12-24,182.160004,183.199997,181.270004,182.839996,182.231567,434000
2019-12-26,183.130005,183.809998,182.020004,183.490005,182.879410,528500
2019-12-27,183.949997,184.139999,182.509995,182.889999,182.281387,922500
2019-12-30,182.779999,183.059998,180.380005,181.350006,180.746521,787100
2019-12-31,180.820007,182.770004,180.610001,182.559998,181.952499,1235500
2020-01-02,183.949997,186.669998,183.610001,185.669998,185.052139,1816400
2020-01-03,183.149994,185.809998,182.270004,184.399994,183.786346,1310900
2020-01-06,184.130005,188.000000,183.559998,187.970001,187.344482,1533000
2020-01-07,188.240005,189.600006,187.169998,187.369995,186.746475,1520500
2020-01-08,187.419998,191.020004,187.419998,188.860001,188.231522,1325800
2020-01-09,190.449997,191.979996,190.320007,191.369995,190.733170,1045200
2020-01-10,192.089996,192.979996,190.009995,190.440002,189.806259,1336300
2020-01-13,191.580002,193.520004,191.089996,193.300003,192.656754,1207400
2020-01-14,193.699997,194.270004,191.199997,191.309998,190.673370,1418000
2020-01-15,192.179993,195.139999,191.899994,194.380005,193.733154,1754400
2020-01-16,195.850006,196.320007,193.259995,195.949997,195.297928,1490200
2020-01-17,196.490005,199.339996,195.990005,198.619995,197.959045,1854600
2020-01-21,197.160004,200.350006,197.160004,198.789993,198.128479,1631200
2020-01-22,200.020004,201.539993,199.250000,200.059998,199.394257,1443300
2020-01-23,200.289993,200.350006,198.460007,199.779999,199.115189,1269700
2020-01-24,200.740005,202.580002,198.410004,198.770004,198.108551,1206000
2020-01-27,194.910004,197.130005,193.809998,195.500000,194.849426,1299400
2020-01-28,196.009995,198.919998,195.619995,198.029999,197.371017,1237300
2020-01-29,199.070007,201.110001,198.220001,199.270004,198.606888,1081900
2020-01-30,197.910004,200.279999,197.139999,200.039993,199.374313,1013400
2020-01-31,198.850006,200.009995,194.770004,195.449997,194.799591,2439400
2020-02-03,196.789993,199.929993,196.279999,198.059998,197.400909,1427400
2020-02-04,201.000000,203.820007,200.740005,202.940002,202.264664,1718400
2020-02-05,205.080002,205.369995,198.199997,200.649994,199.982285,1833100
2020-02-06,201.020004,202.649994,200.789993,201.669998,200.998886,1370000
2020-02-07,200.639999,201.929993,198.350006,200.789993,200.121826,1161300
2020-02-10,200.250000,204.660004,200.250000,204.639999,203.959015,1505100
2020-02-11,205.160004,206.179993,202.380005,203.179993,202.503860,2100500
2020-02-12,199.610001,203.679993,198.229996,201.649994,200.978958,2535600
2020-02-13,200.789993,204.419998,199.250000,202.729996,202.055374,1884200
2020-02-14,203.509995,206.369995,203.270004,206.369995,205.683258,1801300
2020-02-18,206.000000,208.320007,205.449997,207.070007,206.380920,2363000
2020-02-19,208.389999,209.619995,206.869995,206.979996,206.291229,1270200
2020-02-20,206.529999,209.619995,203.619995,208.470001,207.776260,1979400
2020-02-21,207.559998,207.919998,203.039993,204.389999,203.709839,1442800
2020-02-24,197.610001,201.550003,195.529999,200.419998,199.753067,2083700
2020-02-25,201.130005,202.240005,190.820007,191.199997,190.563736,2814100
2020-02-26,190.910004,196.429993,188.770004,189.649994,189.018890,2089600
2020-02-27,185.380005,189.240005,182.360001,183.750000,183.138519,3416400
2020-02-28,176.750000,184.039993,175.000000,183.970001,183.357788,4061400
2020-03-02,185.050003,192.419998,183.149994,192.389999,191.749771,3027200
2020-03-03,192.399994,195.309998,184.820007,187.580002,186.955795,2378800
2020-03-04,190.190002,194.220001,188.050003,193.919998,193.274673,1490100
2020-03-05,189.339996,190.509995,182.850006,185.729996,185.111954,2415700
2020-03-06,179.429993,181.059998,173.839996,179.559998,178.962463,2589100
2020-03-09,166.750000,170.690002,161.350006,164.750000,164.201752,3144700
2020-03-10,170.309998,183.649994,165.500000,181.770004,181.165115,4335500
2020-03-11,176.529999,179.000000,168.770004,172.149994,171.577133,3240100
2020-03-12,160.000000,170.000000,151.729996,157.110001,156.764755,3537500
2020-03-13,165.559998,173.529999,156.009995,172.990005,172.609863,2972000
